Município,2014,2015,2016
Adamantina,388,400,406
Adolfo,10,16,12
Aguaí,98,97,104
Águas da Prata,19,15,27
Águas de Lindóia,153,159,163
Águas de Santa Bárbara,16,22,14
Águas de São Pedro,14,15,11
Agudos,127,141,170
Alambari,9,4,9
Alfredo Marcondes,6,6,6
Altair,15,7,13
Altinópolis,86,72,91
Alto Alegre,17,15,15
Alumínio,54,48,72
Álvares Florence,7,10,7
Álvares Machado,61,51,65
Álvaro de Carvalho,7,10,4
Alvinlândia,2,3,7
Americana,1685,1498,1499
Américo Brasiliense,335,347,314
Américo de Campos,18,22,16
Amparo,519,580,650
Analândia,11,11,16
Andradina,507,498,546
Angatuba,173,163,151
Anhembi,16,20,21
Anhumas,5,6,2
Aparecida,286,348,327
Aparecida d'Oeste,23,20,23
Apiaí,170,186,214
Araçariguama,56,76,106
Araçatuba,2156,2169,2306
Araçoiaba da Serra,80,116,130
Aramina,15,10,11
Arandu,32,35,29
Arapeí,9,14,11
Araraquara,1763,1861,1930
Araras,977,1052,983
Arco-Íris,3,4,2
Arealva,37,40,45
Areias,29,24,30
Areiópolis,21,19,28
Ariranha,23,32,26
Artur Nogueira,131,156,185
Arujá,324,321,352
Aspásia,6,5,5
Assis,1074,992,1023
Atibaia,984,972,948
Auriflama,105,92,95
Avaí,9,12,7
Avanhandava,20,22,26
Avaré,659,650,729
Bady Bassitt,24,40,32
Balbinos,2,1,8
Bálsamo,16,17,18
Bananal,37,49,34
Barão de Antonina,6,10,11
Barbosa,16,16,11
Bariri,238,229,227
Barra Bonita,314,271,277
Barra do Chapéu,14,18,14
Barra do Turvo,44,24,38
Barretos,2573,2716,2764
Barrinha,56,66,81
Barueri,1579,1711,1767
Bastos,76,64,96
Batatais,389,367,423
Bauru,3311,3431,3366
Bebedouro,616,667,656
Bento de Abreu,2,9,1
Bernardino de Campos,85,92,97
Bertioga,253,249,256
Bilac,51,52,47
Birigui,630,674,692
Biritiba-Mirim,91,74,68
Boa Esperança do Sul,52,59,54
Bocaina,49,32,37
Bofete,33,26,43
Boituva,244,239,257
Bom Jesus dos Perdões,66,61,69
Bom Sucesso de Itararé,6,8,9
Borá,,1,1
Boracéia,10,10,5
Borborema,105,76,86
Borebi,3,4,2
Botucatu,1626,1767,1788
Bragança Paulista,1569,1662,1851
Braúna,9,7,6
Brejo Alegre,15,7,7
Brodowski,52,62,52
Brotas,110,115,116
Buri,67,78,77
Buritama,104,97,126
Buritizal,11,8,6
Cabrália Paulista,9,6,1
Cabreúva,129,119,136
Caçapava,468,489,512
Cachoeira Paulista,162,127,118
Caconde,82,96,90
Cafelândia,110,111,95
Caiabu,4,5,10
Caieiras,381,332,342
Caiuá,7,8,7
Cajamar,266,267,302
Cajati,118,90,88
Cajobi,29,37,42
Cajuru,136,126,131
Campina do Monte Alegre,13,5,11
Campinas,8701,8577,8973
Campo Limpo Paulista,300,265,322
Campos do Jordão,291,311,338
Campos Novos Paulista,14,13,16
Cananéia,47,43,35
Canas,6,5,5
Cândido Mota,179,148,157
Cândido Rodrigues,4,6,7
Canitar,4,11,10
Capão Bonito,354,295,343
Capela do Alto,54,62,62
Capivari,326,333,347
Caraguatatuba,708,778,755
Carapicuíba,1343,1470,1261
Cardoso,73,52,50
Casa Branca,220,232,203
Cássia dos Coqueiros,13,14,7
Castilho,72,78,96
Catanduva,1717,1871,1647
Catiguá,17,7,13
Cedral,27,20,20
Cerqueira César,178,156,194
Cerquilho,154,167,172
Cesário Lange,87,95,90
Charqueada,62,59,61
Chavantes,76,81,82
Clementina,28,26,30
Colina,55,68,63
Colômbia,10,24,16
Conchal,93,107,107
Conchas,101,122,99
Cordeirópolis,53,68,51
Coroados,6,13,15
Coronel Macedo,21,9,11
Corumbataí,8,7,3
Cosmópolis,301,279,229
Cosmorama,30,23,25
Cotia,1802,1636,1672
Cravinhos,97,79,109
Cristais Paulista,17,16,16
Cruzália,6,6,6
Cruzeiro,606,592,541
Cubatão,558,540,478
Cunha,115,123,119
Descalvado,193,188,174
Diadema,1662,1621,1743
Dirce Reis,6,8,2
Divinolândia,81,98,88
Dobrada,1,8,11
Dois Córregos,171,164,169
Dolcinópolis,4,3,4
Dourado,48,35,58
Dracena,471,518,517
Duartina,96,93,103
Dumont,10,19,17
Echaporã,18,32,18
Eldorado,64,52,39
Elias Fausto,40,39,35
Elisiário,1,4,4
Embaúba,3,,6
Embu das Artes,694,681,716
Embu-Guaçu,283,305,313
Emilianópolis,5,2,2
Engenheiro Coelho,35,35,30
Espírito Santo do Pinhal,332,340,346
Espírito Santo do Turvo,7,8,8
Estiva Gerbi,26,26,21
Estrela do Norte,6,5,6
Estrela d'Oeste,29,34,27
Euclides da Cunha Paulista,15,9,23
Fartura,114,89,129
Fernando Prestes,17,13,21
Fernandópolis,689,692,657
Fernão,4,3,1
Ferraz de Vasconcelos,701,886,930
Flora Rica,3,3,8
Floreal,5,4,13
Flórida Paulista,61,59,57
Florínia,13,7,11
Franca,2372,2346,2542
Francisco Morato,615,657,682
Franco da Rocha,811,868,947
Gabriel Monteiro,5,5,7
Gália,41,35,34
Garça,287,357,330
Gastão Vidigal,5,10,12
Gavião Peixoto,13,11,20
General Salgado,47,54,48
